depth,width,total_params,baseline
2,1,809,0.11349999904632568
2,2,1612,0.11349999904632568
2,3,2419,0.36970001459121704
2,4,3230,0.7330999970436096
2,5,4045,0.6050000190734863
2,6,4864,0.7900999784469604
2,7,5687,0.7889000177383423
2,8,6514,0.8203999996185303
2,9,7345,0.7851999998092651
2,10,8180,0.9009000062942505
