subspace_dim,test_acc,test_loss
1,0.09799999743700027,2.302584409713745
100,0.6829000115394592,0.9731469750404358
200,0.8525999784469604,0.5034824013710022
300,0.9017999768257141,0.327419251203537
400,0.9164000153541565,0.2782813608646393
500,0.9373000264167786,0.21355536580085754
600,0.9485999941825867,0.17451877892017365
700,0.9498000144958496,0.16793325543403625
800,0.957099974155426,0.14255188405513763
900,0.9577000141143799,0.1321898102760315
1000,0.9592999815940857,0.13582634925842285
1100,0.9659000039100647,0.11100894957780838
1200,0.9617000222206116,0.12784045934677124
1300,0.9708999991416931,0.0937361791729927
1400,0.9671000242233276,0.09742080420255661
1500,0.9681000113487244,0.10395210981369019
1600,0.9724000096321106,0.09025200456380844
