subspace_dim,test_acc,test_loss
100,0.24529999494552612,2.0868353843688965
200,0.3321000039577484,1.9465316534042358
400,0.35269999504089355,1.8304715156555176
600,0.36489999294281006,1.7009161710739136
800,0.3910999894142151,1.6773632764816284
1000,0.5249999761581421,1.5012755393981934
1200,0.45419999957084656,1.5369884967803955
1400,0.5004000067710876,1.4334973096847534
1600,0.5680000185966492,1.3434969186782837
2000,0.6173999905586243,1.11835777759552
5000,0.9318000078201294,0.22049176692962646
10000,0.9429000020027161,0.1801861971616745
20000,0.9539999961853027,0.14518289268016815
30000,0.9598000049591064,0.13417431712150574
50000,0.9642999768257141,0.1254332810640335
1000000,0.9596999883651733,0.1698562204837799
