subspace_dim,test_acc,test_loss
100,0.3822999894618988,1.881819486618042
200,0.6601999998092651,1.0443801879882812
300,0.7390999794006348,0.8037561774253845
400,0.7967000007629395,0.6422551274299622
500,0.8098999857902527,0.5864705443382263
600,0.8439000248908997,0.4983479976654053
700,0.867900013923645,0.43239882588386536
800,0.870199978351593,0.42494019865989685
900,0.8774999976158142,0.39097175002098083
1000,0.8858000040054321,0.3671782910823822
1100,0.8863000273704529,0.3721719980239868
1200,0.8962000012397766,0.34038111567497253
1300,0.8955000042915344,0.35550111532211304
1400,0.8995000123977661,0.32386887073516846
1500,0.9017999768257141,0.3156520128250122
1600,0.9086999893188477,0.3072710931301117
