subspace_dim,test_acc,test_loss
1,0.09799999743700027,2.302584409713745
100,0.5644000172615051,1.35651695728302
200,0.730400025844574,0.8301106691360474
300,0.7937999963760376,0.6548168659210205
400,0.8321999907493591,0.542168140411377
500,0.8561999797821045,0.47816333174705505
600,0.875,0.4212106466293335
700,0.8830000162124634,0.38941457867622375
800,0.894599974155426,0.3663944900035858
900,0.8974999785423279,0.34959501028060913
1000,0.90420001745224,0.3212060034275055
1100,0.9089000225067139,0.3130950927734375
1200,0.910099983215332,0.3040606379508972
1300,0.9150999784469604,0.2898047864437103
1400,0.9193000197410583,0.27596068382263184
1500,0.9186000227928162,0.27658677101135254
1600,0.9225999712944031,0.26085901260375977
