subspace_dim,test_acc,test_loss
1,0.09799999743700027,2.302584409713745
100,0.6951000094413757,0.9232625961303711
200,0.815500020980835,0.59417724609375
300,0.8883000016212463,0.37575608491897583
400,0.9169999957084656,0.28912127017974854
500,0.9405999779701233,0.19022803008556366
600,0.9455000162124634,0.18057045340538025
700,0.9537000060081482,0.15415003895759583
800,0.9545000195503235,0.15747123956680298
900,0.957099974155426,0.14321213960647583
1000,0.9627000093460083,0.1225360855460167
1100,0.9563000202178955,0.14069268107414246
1200,0.9660999774932861,0.11738075315952301
1300,0.9682999849319458,0.10568242520093918
1400,0.9688000082969666,0.09678821265697479
1500,0.9711999893188477,0.09130177646875381
1600,0.9714000225067139,0.09120730310678482
