subspace_dim,test_acc,test_loss
1,0.09799999743700027,2.302584409713745
100,0.5774000287055969,1.3225816488265991
200,0.6883000135421753,0.95654296875
300,0.7753000259399414,0.7017289400100708
400,0.8276000022888184,0.554635226726532
500,0.8364999890327454,0.5217270851135254
600,0.8579999804496765,0.4617566466331482
700,0.8616999983787537,0.4542869031429291
800,0.8773999810218811,0.41715484857559204
900,0.8450000286102295,0.5164310336112976
1000,0.8899000287055969,0.3598937392234802
1100,0.8539000153541565,0.4760816991329193
1200,0.8899000287055969,0.36299070715904236
1300,0.8981000185012817,0.3342210650444031
1400,0.896399974822998,0.33403250575065613
1500,0.892799973487854,0.35032984614372253
1600,0.9103000164031982,0.31373271346092224
