subspace_dim,test_acc,test_loss
1,0.09799999743700027,2.302584409713745
100,0.7096999883651733,0.9406377673149109
200,0.8213000297546387,0.5789697766304016
300,0.8881999850273132,0.3523365557193756
400,0.9212999939918518,0.2603122591972351
500,0.9334999918937683,0.21759414672851562
600,0.9419999718666077,0.19277450442314148
700,0.9491999745368958,0.16376429796218872
800,0.9574999809265137,0.14330510795116425
900,0.9607999920845032,0.13137638568878174
1000,0.9632999897003174,0.1167769655585289
1100,0.9670000076293945,0.10731617361307144
1200,0.9666000008583069,0.10910512506961823
1300,0.9672999978065491,0.10390456765890121
1400,0.9728999733924866,0.09094766527414322
1500,0.9714999794960022,0.09344127029180527
1600,0.9711999893188477,0.09209882467985153
