subspace_dim,test_acc,test_loss
100,0.39500001072883606,1.8337037563323975
200,0.6638000011444092,1.022399663925171
300,0.7439000010490417,0.7849345803260803
400,0.7846999764442444,0.6724801659584045
500,0.8187999725341797,0.5659944415092468
600,0.8446000218391418,0.5033864378929138
700,0.8597000241279602,0.45187777280807495
800,0.8708000183105469,0.4313336908817291
900,0.8827000260353088,0.37923121452331543
1000,0.8934000134468079,0.35009679198265076
1100,0.8925999999046326,0.3583805561065674
1200,0.9006999731063843,0.32760095596313477
1300,0.8998000025749207,0.3290140926837921
1400,0.9050999879837036,0.30986541509628296
1500,0.90420001745224,0.311188668012619
1600,0.9089999794960022,0.29876425862312317
