subspace_dim,test_acc,test_loss
1,0.09799999743700027,2.302584409713745
100,0.5609999895095825,1.335951805114746
200,0.7663999795913696,0.7315511703491211
300,0.7940999865531921,0.6372362375259399
400,0.8353999853134155,0.5361964106559753
500,0.8582000136375427,0.4649403691291809
600,0.8758999705314636,0.4159742295742035
700,0.8819000124931335,0.37817439436912537
800,0.8883000016212463,0.36724650859832764
900,0.8960000276565552,0.3408662676811218
1000,0.9032999873161316,0.3314380347728729
1100,0.9077000021934509,0.3141449987888336
1200,0.90420001745224,0.3132226765155792
1300,0.9129999876022339,0.2916071116924286
1400,0.9172999858856201,0.27213072776794434
1500,0.9185000061988831,0.27533990144729614
1600,0.9221000075340271,0.2588184177875519
