subspace_dim,test_acc,test_loss
1,0.09799999743700027,2.302584409713745
100,0.476500004529953,1.5835082530975342
200,0.7009999752044678,0.9392403364181519
300,0.7444999814033508,0.7733544707298279
400,0.7894999980926514,0.6654124855995178
500,0.8345999717712402,0.5248681902885437
600,0.8513000011444092,0.4820486903190613
700,0.8644999861717224,0.44848954677581787
800,0.8810999989509583,0.39117735624313354
900,0.8805000185966492,0.38277649879455566
1000,0.88919997215271,0.36314713954925537
1100,0.8931999802589417,0.34424468874931335
1200,0.8984000086784363,0.32983699440956116
