subspace_dim,test_acc,test_loss
100,0.4999000132083893,1.7336839437484741
200,0.651199996471405,1.0671240091323853
300,0.7178999781608582,0.8630816340446472
400,0.795799970626831,0.649265468120575
500,0.8191999793052673,0.5681068897247314
600,0.8325999975204468,0.5322043299674988
700,0.8522999882698059,0.4793449640274048
800,0.8628000020980835,0.43452441692352295
900,0.8755000233650208,0.40052181482315063
1000,0.8841999769210815,0.38292303681373596
1100,0.8919000029563904,0.37091895937919617
1200,0.8916000127792358,0.3490067720413208
1300,0.9013000130653381,0.32362931966781616
1400,0.9009000062942505,0.3196897804737091
1500,0.906000018119812,0.3073786795139313
1600,0.9118000268936157,0.2954504191875458
