subspace_dim,test_acc,test_loss
1,0.09799999743700027,2.302584409713745
100,0.5741000175476074,1.3289310932159424
200,0.7236999869346619,0.8587283492088318
300,0.7968999743461609,0.6243814826011658
400,0.8299999833106995,0.5332145690917969
500,0.8452000021934509,0.4897191822528839
600,0.8633999824523926,0.44748297333717346
700,0.878000020980835,0.40124139189720154
800,0.8834999799728394,0.38335123658180237
900,0.8967999815940857,0.3480433225631714
1000,0.9038000106811523,0.32162797451019287
1100,0.9064000248908997,0.30507102608680725
1200,0.9082000255584717,0.3036156892776489
1300,0.9193999767303467,0.2737267315387726
1400,0.9175000190734863,0.2767272889614105
1500,0.9189000129699707,0.27468636631965637
1600,0.9217000007629395,0.26586809754371643
