subspace_dim,test_acc,test_loss
1,0.09799999743700027,2.302584409713745
100,0.6793000102043152,0.9784981608390808
200,0.8080000281333923,0.595327615737915
300,0.8754000067710876,0.39302727580070496
400,0.9276000261306763,0.24274340271949768
500,0.9254999756813049,0.2459610104560852
600,0.9455999732017517,0.17795519530773163
700,0.9480999708175659,0.16862085461616516
800,0.9531999826431274,0.15234054625034332
900,0.9645000100135803,0.12394211441278458
1000,0.9614999890327454,0.12840382754802704
1100,0.965499997138977,0.10930682718753815
1200,0.968500018119812,0.10574933141469955
1300,0.968500018119812,0.10105235129594803
1400,0.9696999788284302,0.0984177365899086
1500,0.9742000102996826,0.08576446026563644
1600,0.9728000164031982,0.08132666349411011
