subspace_dim,test_acc,test_loss
1,0.09799999743700027,2.302584409713745
100,0.6693999767303467,1.0320745706558228
200,0.8525000214576721,0.4612768590450287
300,0.9042999744415283,0.3287259638309479
400,0.9070000052452087,0.30895790457725525
500,0.9361000061035156,0.20762374997138977
600,0.9451000094413757,0.18637308478355408
700,0.9485999941825867,0.17599210143089294
800,0.9577000141143799,0.1386168897151947
900,0.9639999866485596,0.12314794957637787
1000,0.9625999927520752,0.12158585339784622
1100,0.9639000296592712,0.11834116280078888
1200,0.9616000056266785,0.12758684158325195
1300,0.9664999842643738,0.09822913259267807
1400,0.9697999954223633,0.09547435492277145
1500,0.9703999757766724,0.09371179342269897
1600,0.9740999937057495,0.08246072381734848
