subspace_dim,test_acc,test_loss
100,0.10000000149011612,2.3025922775268555
500,0.10000000149011612,2.3026010990142822
1000,0.10000000149011612,2.3026106357574463
2000,0.10000000149011612,2.302640438079834
4000,0.3686000108718872,1.7800660133361816
5000,0.3743000030517578,1.7622990608215332
6000,0.38760000467300415,1.736476182937622
7000,0.385699987411499,1.7295851707458496
8000,0.38350000977516174,1.7366812229156494
9000,0.39089998602867126,1.7190580368041992
10000,0.3921999931335449,1.7158910036087036
