subspace_dim,test_acc,test_loss
100,0.5253000259399414,1.399939775466919
200,0.7031000256538391,0.908531129360199
300,0.7623000144958496,0.7489050030708313
400,0.8032000064849854,0.6236795783042908
500,0.8432000279426575,0.5072774887084961
600,0.8611000180244446,0.45023491978645325
700,0.8762999773025513,0.40586143732070923
800,0.8751999735832214,0.3943617641925812
900,0.8934000134468079,0.35575032234191895
1000,0.902400016784668,0.33060774207115173
1100,0.9028000235557556,0.32345840334892273
1200,0.9083999991416931,0.301663339138031
1300,0.9039999842643738,0.31719404458999634
1400,0.9161999821662903,0.2896653711795807
1500,0.9175000190734863,0.28139689564704895
1600,0.9146000146865845,0.28807395696640015
2400,0.9277999997138977,0.24125687777996063
3200,0.9509000182151794,0.1649736762046814
4000,0.9549999833106995,0.16205602884292603
5000,0.9606999754905701,0.1315317153930664
5700,0.9591000080108643,0.1538417488336563
6500,0.960099995136261,0.13952821493148804
7300,0.9609000086784363,0.16227169334888458
8200,0.9641000032424927,0.13991522789001465
