subspace_dim,test_acc,test_loss
100,0.10000000149011612,2.3025951385498047
500,0.10000000149011612,2.3025994300842285
1000,0.10000000149011612,2.3026156425476074
2000,0.10000000149011612,2.302623987197876
4000,0.37049999833106995,1.7773871421813965
5000,0.37689998745918274,1.7614572048187256
6000,0.3822999894618988,1.7451878786087036
7000,0.3869999945163727,1.7456544637680054
8000,0.3898000121116638,1.7406408786773682
9000,0.3873000144958496,1.7204786539077759
10000,0.39410001039505005,1.7296221256256104
