subspace_dim,test_acc,test_loss
100,0.23909999430179596,2.0912282466888428
150,0.3294000029563904,1.9403207302093506
200,0.33739998936653137,1.8495824337005615
250,0.3490999937057495,1.8979673385620117
300,0.2879999876022339,1.9264010190963745
350,0.41589999198913574,1.684059977531433
400,0.4059000015258789,1.736541748046875
500,0.3294999897480011,1.7398322820663452
1000,0.7145000100135803,1.233754277229309
2000,0.9068999886512756,0.5958786010742188
5000,0.9854000210762024,0.04701605066657066
10000,0.9916999936103821,0.02499600127339363
20000,0.9927999973297119,0.020616937428712845
30000,0.991100013256073,0.028978141024708748
50000,0.9919000267982483,0.025219090282917023
