subspace_dim,test_acc,test_loss
100,0.7081000208854675,0.9232483506202698
150,0.7789000272750854,0.6854879856109619
200,0.8501999974250793,0.46798354387283325
250,0.8547999858856201,0.4757765233516693
300,0.9045000076293945,0.3201512098312378
350,0.9028000235557556,0.3228698968887329
400,0.9021999835968018,0.32018542289733887
500,0.9343000054359436,0.22334174811840057
600,0.9472000002861023,0.17869554460048676
700,0.9463000297546387,0.176721453666687
800,0.949999988079071,0.16595488786697388
900,0.9569000005722046,0.14578567445278168
1000,0.9660999774932861,0.11448410898447037
1100,0.9674000144004822,0.10899660736322403
1200,0.9679999947547913,0.10776075720787048
1300,0.9688000082969666,0.0965387374162674
1400,0.9674999713897705,0.10114002972841263
1500,0.9732000231742859,0.08956452459096909
1600,0.9735999703407288,0.09005171060562134
