,n_feature,total_params,baseline
0,1,268058,0.9923999905586243
1,2,268058,0.9923999905586243
2,3,268058,0.9923999905586243
3,4,268058,0.9923999905586243
4,5,268058,0.9923999905586243
5,6,268058,0.9923999905586243
6,7,268058,0.9923999905586243
7,8,268058,0.9923999905586243
8,9,268058,0.9923999905586243
9,10,268058,0.9923999905586243
10,11,268058,0.9923999905586243
11,12,268058,0.9923999905586243
12,13,268058,0.9923999905586243
13,14,268058,0.9923999905586243
14,15,268058,0.9923999905586243
15,16,268058,0.9923999905586243
16,17,268058,0.9923999905586243
17,18,268058,0.9923999905586243
18,19,268058,0.9923999905586243
19,20,268058,0.9923999905586243
20,21,268058,0.9923999905586243
21,22,268058,0.9923999905586243
22,23,268058,0.9923999905586243
23,24,268058,0.9923999905586243
24,25,268058,0.9923999905586243
25,26,268058,0.9923999905586243
26,27,268058,0.9923999905586243
27,28,268058,0.9923999905586243
28,29,268058,0.9923999905586243
29,30,268058,0.9923999905586243
