n_feature,total_params,baseline
1,268058,0.9656999707221985
2,268058,0.9656999707221985
3,268058,0.9656999707221985
4,268058,0.9656999707221985
5,268058,0.9656999707221985
6,268058,0.9656999707221985
7,268058,0.9656999707221985
8,268058,0.9656999707221985
9,268058,0.9656999707221985
10,268058,0.9656999707221985
11,268058,0.9656999707221985
12,268058,0.9656999707221985
13,268058,0.9656999707221985
14,268058,0.9656999707221985
15,268058,0.9656999707221985
16,268058,0.9656999707221985
17,268058,0.9656999707221985
18,268058,0.9656999707221985
19,268058,0.9656999707221985
20,268058,0.9656999707221985
21,268058,0.9656999707221985
22,268058,0.9656999707221985
23,268058,0.9656999707221985
24,268058,0.9656999707221985
25,268058,0.9656999707221985
26,268058,0.9656999707221985
27,268058,0.9656999707221985
28,268058,0.9656999707221985
29,268058,0.9656999707221985
30,268058,0.9656999707221985
