subspace_dim,dense (ms),sparse (ms),fastfood (ms),direct (ms)
1000,8.815195666405392,61.862693666626,287.11155966690666,6.5340573328285245
5000,6.21570933314312,136.2393936663769,100.56590300033956,6.5340573328285245
10000,inf,189.18182633357597,68.71705666677978,6.5340573328285245
50000,inf,inf,53.551433666446734,6.5340573328285245
100000,inf,inf,61.96448100005606,6.5340573328285245
